dish,net,Estimated GI
Scrambled egg with tomato," 128 g
",0.0
Bean sprout," 129 g
",30.0
Vegetable," 162 g
",20.0
Beef," 48 g
",0.0
Rice, 127 g,70.0
Braised pork in brown sauce,"  52 g
",25.0
Bean sprout," 107 g
",30.0
Vegetable," 178 g
",20.0
Beef, 44 g,0.0
Steamed vegetable bun," 80 g
",20.0
Steamed pork dumplings, 40 g,0.0
"
Milk and coffee"," 200 ml
",50.0
Apple," 40 g
",40.0
Oatcake, 35g,50.0
"
Rice"," 80 g
",70.0
Meat," 100 g
",50.0
Plum, 150 g,50.0
"
Coarse grain"," 50 g
",50.0
Yellow croaker fish," 100 g
",0.0
Meat patty, 50 g,50.0
Coarse grain," 50 g
",50.0
Milk and coffee, 200 ml,50.0
"
Steamed rice in clay pot"," 100 g
",70.0
Chicken soup with pork tripe and pepper, 50 g,0.0
"
Coarse grain"," 50 g
",50.0
Small yellow croaker fish," 40 g
",0.0
Vegetable and sparerib, 100 g,20.0
Oatcake, 50 g,50.0
Biscuit, 10 g,50.0
"
Roasted meat", 300 g,50.0
"
Biscuit", 10 g,50.0
"
Roast duck"," 20 g
",0.0
Crust, 60 g,50.0
Oatcake, 500 g,50.0
Burger,  150 g,50.0
"
Burger",  150 g,50.0
"
Roast mutton", 400 g,50.0
Watermelon, 200 g,50.0
"
Porridge"," 100 g
",50.0
Egg," 150 g
",0.0
Deep-fried dough stick, 50 g,50.0
Deep-fried dough stick, 25 g,50.0
"
Rice"," 100 g
",70.0
Chicken," 150 g
",0.0
Vegetable, 50 g,20.0
"
Biscuit", 20 g,50.0
"
Rice"," 200 g
",70.0
Watermelon, 300 g,50.0
Egg," 100 g
",0.0
Deep-fried dough stick, 200 g,50.0
Hairtail," 100 g
",50.0
Meat," 50 g
",50.0
"
Cereal"," 40 g
",50.0
Apple, 60 g,40.0
"
Beef and vermicelli soup"," 300 g
",0.0
Pancake,  200 g,50.0
"
Vegetable"," 100 g
",20.0
Meat, 200 g,50.0
"
Cereal"," 400 g
",50.0
Milk and coffee," 200 ml
",50.0
"
Curry chicken chop and fried rice in omelette", 350 g,70.0
"
 Noodles with yellow croaker fish", 200 g,55.0
Chicken wings, 30 g,0.0
Egg and vegetable, 80 g,0.0
"
Pan-fried dumplings"," 250 g
",50.0
Winter gourd and pork bone soup, 150 g,0.0
"
Cereal"," 50 g
",50.0
"
Noodles"," 100 g
",55.0
Egg and shrimp," 50 g
",0.0
Burger," 150 g
",50.0
Snacks,  80 g,50.0
"
Cereal and sweet potato"," 100 g
",80.0
Coffee, 100 ml,50.0
"
Chicken"," 80 g
",0.0
Duck blood soup," 150 ml
",0.0
Rice, 60 g,70.0
Vegetable," 20 g
",20.0
Fish and crab, 50 g,0.0
"
Cereal"," 60 g
",50.0
Red tea," 200 ml
",50.0
Chicken wings, 200 g,0.0
"
Cake"," 20 g
",50.0
Milk and coffee, 200ml,50.0
"
Vermicelli soup", 250 g,50.0
"
Coarse grain"," 100 g
",50.0
Crab," 50 g
",0.0
Vegetable,"  80 g
",20.0
Beaf, 20 g,50.0
Biscuit, 20 g,50.0
Fried egg," 50 g
",0.0
Coffee and milk, 250 ml,50.0
"
Burger", 300 g,50.0
"
Coarse grain"," 80 g
",50.0
Braised pork with cauliflower," 152 g
",7.5
Shredded pork with cucumber," 127 g
",0.0
Braised radish," 137 g
",50.0
Pork floss, 50 g,0.0
Boiled vegetable,111 g,20.0
Braised pork chops with carrot," 158 g
",17.5
Steamed minced pork with eggplant," 102 g
",0.0
Amaranthus," 106 g
",50.0
Sliced duck with onion," 148 g
",0.0
Braised shredded pork and cabbage," 139 g
",5.0
Green pepper and green bean sprouts," 111 g
",30.0
Boiled vegetable,100 g,20.0
Braised black carp," 107 g
",50.0
Shredded chicken with green pepper and yam," 102 g
",7.5
Leaf lettuce," 104 g
",10.0
Shredded pork in Beijing sauce,"164 g
",25.0
Minced pork with zucchini," 115 g
",0.0
Wax gourd mixed with scallion oil," 122 g
",10.0
Sliced boiled duck," 100 g
",0.0
Shredded pork with lettuce," 118 g
",0.0
Vegetable," 150 g
",20.0
Steamed corn meatball," 103 g
",50.0
Minced pork with cauliflower and fungus," 126 g
",7.5
Vegetable," 100 g
",20.0
Stewed duck with carrot," 111 g
",35.0
Minced meat with hangzhou cabbage," 119 g
",10.0
Cabbage," 111 g
",10.0
Minced meat with tomato and cabbage," 124 g
",10.0
Cabbage," 112 g
",10.0
Sliced pork with zucchini," 152 g
",0.0
Minced pork with winter melon and carrot," 127 g
",17.5
Hangzhou cabbage," 133 g
",10.0
Shrimp and vegetable," 140 g
",20.0
Minced pork and eggplant," 107 g
",0.0
Steamed yam-stuffing meatballs," 68g
",50.0
Shredded pork with green pepper and carrot," 125 g
",17.5
Hangzhou cabbage," 142 g
",10.0
Pork stuffed green pepper," 160 g
",0.0
Shredded pork with tomato and cabbage," 110 g
",5.0
Lettuce," 108 g
",10.0
Sliced pork with mushroom and carrot," 68 g
",16.67
Minced meat with cauliflower and carrot," 133 g
",25.0
Egg," 70 g
",0.0
Braised pork with tofu skin knot," 127 g
",7.5
Shredded pork with towel gourd and carrot," 102 g
",17.5
Leaf lettuce," 103 g
",10.0
Sliced chicken with yam and lettuce," 171 g
",5.0
Minced pork with towel gourd," 135 g
",0.0
Chinese cabbage and carrot," 134 g
",22.5
Coarse grain, 135g,50.0
Boiled vegetable, 111g,20.0
Pork stuffed green pepper," 104 g
",0.0
Shredded pork with cabbage and carrot," 113 g
",15.0
Stewed pork and tofu skin," 141 g
",7.5
Shredded pork with towel gourd and carrot," 104 g
",17.5
Leaf lettuce," 111 g
",10.0
Sliced pork with lettuce and fungus," 134 g
",0.0
Minced pork with cucumber and carrot," 119 g
",17.5
Cabbage, 106 g,10.0
"
Coarse grain", 133 g,50.0
Braised duck slices with green pepper and onion," 148 g
",7.5
Green vegetable," 102 g
",20.0
Coarse grain, 234 g,50.0
Sliced pork with snow pea and yam," 136 g
",0.0
Shredded pork with broccoli," 117 g
",0.0
Shredded Chinese cabbage and carrot," 112 g
",22.5
Coarse grain, 225g,50.0
Stir-fried pork with egg and fungus," 169 g
",0.0
Minced pork with yam and corn," 101 g
",0.0
Amaranth," 102 g
",50.0
Coarse grain, 247 g,50.0
Braised eggs and small meat balls," 163 g
",0.0
Shredded pork with lettuce and fungus," 122 g
",0.0
Cabbage and carrot," 115 g
",22.5
Braised chicken with lotus root and celery," 143 g
",0.0
Braised shredded pork and cabbage," 133 g
",5.0
Green pepper and green bean sprouts," 126 g
",30.0
Shredded pork with green pepper and water bamboo," 124 g
",0.0
Braised pork with tofu skin knot," 40 g
",7.5
Shredded pork with celery," 103 g
",0.0
Water spinach," 109 g
",50.0
Coffee, 250 g,50.0
Sliced pork with asparagus and fugus," 152 g
",0.0
Minced pork with cucumber," 129 g
",0.0
Cabbage," 129 g
",10.0
,1 l,50.0
Roasted crucian carp with scallion," 176 g
",5.0
Green vegetable," 109 g
",20.0
Sliced pork with snow pea and yam," 127 g
",0.0
Shredded pork with broccoli," 122 g
",0.0
Shredded Chinese cabbage and carrot," 119 g
",22.5
Fried fish slices with tomatoes," 143 g
",0.0
Minced meat with yam and corn," 116 g
",50.0
Amaranth," 109 g
",50.0
Sliced pork with celery and ginkgo," 131 g
",0.0
Shredded pork with lettuce and carrot," 102 g
",17.5
Green vegetable," 103 g
",20.0
"
Steamed bun"," 100 g
",50.0
Yogurt, 50 g,50.0
Noodles, 150 g,55.0
Meat dish, 50g,50.0
"
Milk"," 100 g
",50.0
Steamed stuffed bun, 50 g,50.0
"
Noodles", 150 g,55.0
"
Dumplings", 100 g,50.0
"
Bread"," 75 g
",75.0
Mung bean soup, 250 g,30.0
"
Bread"," 50 g
",75.0
Milk, 250 g,50.0
"
Rice"," 50 g
",70.0
Meat dish," 50 g
",50.0
Vegetable dish and bean products, 100 g,30.0
"
Bean products"," 50 g
",30.0
"
Pumpkin"," 75 g
",50.0
Bread," 25 g
",75.0
Egg, 50 g,0.0
Vegetable dish," 50 g
",20.0
Tofu, 50 g,15.0
"
Steamed vegetable bun"," 80 g
",20.0
Steamed pork dumplings,  100 g,0.0
"
Rice"," 75 g
",70.0
Meat dish, 50 g,50.0
"
Steamed meat bun"," 80 g
",50.0
Tofu pudding, 250 g,15.0
Steamed meat bun, 80 g,50.0
"
Bread"," 150 g
",75.0
"
Sandwich"," 150 g
",50.0
Yogurt, 250 g,50.0
"
Dumplings", 100g,50.0
"
Egg"," 50 g
",0.0
Steamed bread, 50 g,75.0
Meat dish," 250 g
",50.0
Vegetable dish, 100 g,20.0
"
Tofu pudding", 100 g,15.0
Crab," 250 g
",0.0
Chicken," 100g
",0.0
Fried eggs, 50g,0.0
"
Tofu", 50g,15.0
"
Vegetable", 80 g,20.0
"
Steamed stuffed bun"," 25 g
",50.0
"
Rice", 50 g,70.0
"
Bread"," 25 g
",75.0
Soup, 250 g,50.0
"
Soup"," 100 g
",50.0
Rice, 50 g,70.0
"
Mung bean soup"," 50 g
",30.0
Steamed bun, 100 g,50.0
Sliced lotus root, 50 g,50.0
Fried rice, 100 g,70.0
Apple, 70 g,40.0
Rice," 100 g
",70.0
Spinach," 150 g
",50.0
Beef, 15 g,0.0
Rice, 100 g,70.0
Vegetable," 130 g
",20.0
Cabbage, 150 g,10.0
Fried egg, 50 g,0.0
Fish, 15 g,0.0
Yam," 20g
",50.0
Lettuce," 25g
",10.0
Pork, 15 g,0.0
Fish," 50 g
",0.0
Lettuce, 50 g,10.0
Cabbage," 100 g
",10.0
Rice," 80 g
",70.0
Sliced lotus root, 20 g,50.0
Rice," 70 g
",70.0
Lettuce," 100 g
",10.0
Sliced lotus root," 30 g
",50.0
Pork, 20 g,0.0
Yam," 10 g
",50.0
Fish, 100 g,0.0
Egg, 45 g,0.0
Pork, 60 g,0.0
Carrot, 10 g,35.0
Carrot, 100 g,35.0
Cabbage," 150 g
",10.0
Fish, 50 g,0.0
Rice, 80 g,70.0
Egg, 40 g,0.0
Vegetable, 60 g,20.0
Radish, 100 g,50.0
Radish," 150 g
",50.0
Pork, 10 g,0.0
Boiled egg, 40 g,0.0
"
Cucumber", 100 g,50.0
Vegetable stuffed steamed dumpling," 50 g
",20.0
Wax gourd and corn soup, 200 g,50.0
Buckwheat bread," 20 g
",75.0
Steamed egg custard," 100 g
",0.0
Tossed cucumber in sauce, 150 g,50.0
Buckwheat bread," 30 g
",75.0
Milk, 110 ml,50.0
Crown daisy," 100 g
",50.0
Steamed egg, 50 g,0.0
Pig feet," 40 g
",50.0
Crown daisy, 150 g,50.0
Instant noodles, 80 g,55.0
Rice," 50 g
",70.0
Carrot and cauliflower," 50 g
",25.0
Fried sliced bean curd roll," 100 g
",30.0
Beef and potato, 100 g,80.0
Buckwheat rice," 30 g
",70.0
Sliced lotus root," 50 g
",50.0
Cauliflower," 50 g
",15.0
Cucumber," 50 g
",50.0
Chinese cabbage, 50 g,10.0
Buckwheat bread," 15 g
",75.0
Boiled egg," 40 g
",0.0
Steamed corn bun," 50 g
",50.0
Tossed cucumber in sauce," 100 g
",50.0
Shepherd's purse wonton, 100 g,60.0
Shepherd's purse and pork stuffed dumpling," 50 g
",0.0
Cucumber," 100 g
",50.0
Crown daisy, 100 g,50.0
Bean sprout," 100 g
",30.0
Tossed cucumber in sauce, 50 g,50.0
Boiled egg, 50 g,0.0
Shepherd's purse and pork stuffed dumpling," 40 g
",0.0
Tossed cucumber in sauce," 50 g
",50.0
Crown daisy, 50 g,50.0
Kelp," 50 g
",50.0
Crab, 50 g,0.0
Buckwheat bread," 40 g
",75.0
Pig feet," 30 g
",50.0
Abalone, 20 g,50.0
Boiled egg," 35 g
",0.0
Buckwheat bread," 17g
",75.0
Shepherd's purse and pork stuffed dumpling," 60 g
",0.0
Cucumber, 100 g,50.0
Shepherd's purse and pork stuffed dumpling," 75 g
",0.0
Crab," 30 g
",0.0
Shepherd's purse and pork stuffed dumpling, 80 g,0.0
Shepherd's purse and pork stuffed dumpling, 75 g,0.0
Buckwheat noodles with pickle and shredded pork,  50 g,27.5
Buckwheat bread," 50 g
",75.0
Shrimp," 100 g
",50.0
Garlic and bean curd, 100 g,30.0
Boiled shrimp," 50 g
",50.0
Steamed hairtail," 30 g
",50.0
Garlic and bean curd, 50 g,30.0
Buckwheat bread," 10 g
",75.0
Pig feet," 15 g
",50.0
Garlic and bean curd," 100 g
",30.0
Sauteed cabbage with vinegar sauce, 100 g,30.0
Shepherd's purse pork stuffed dumpling," 50 g
",0.0
Chinese cabbage," 100 g
",10.0
Buckwheat noodles," 75 g
",55.0
Fried asparagus, 100 g,50.0
Asparagus, 100 g,50.0
Buckwheat noodles," 50 g
",55.0
Fried mushroom and asparagus," 100 g
",15.0
Pig feet, 20 g,50.0
Vegetable, 200 g,20.0
Rice cake, 15 g,70.0
Kiwi fruit, 30 g,40.0
Corn," 30 g
",50.0
Lettuce," 30 g
",10.0
Rice cake," 30 g
",70.0
Pork dumpling, 15 g,0.0
Buckwheat noodles, 100 g,55.0
Fish head soup, 200 g,0.0
Shepherd's purse pork wonton, 75 g,30.0
Shepherd's purse pork wonton," 75 g
",30.0
Fried vegetable, 100 g,20.0
Fried green vegetable, 100 g,20.0
"Fried Chinese cabbage, black fungus and bean curd"," 100 g
",20.0
Sweet and sour pork rib," 50 g
",0.0
Black carp, 50 g,50.0
"Pork rib, carrot, vegetable and  rice", 75 g,35.0
Steamed hairtail," 100 g
",50.0
Chinese cabbage, 100 g,10.0
Buckwheat noodles," 100 g
",55.0
Chinese cabbage and sliced carrot, 50 g,22.5
Steamed yellow croaker," 80 g
",50.0
Shepherd's purse and pork stuffed wonton, 75 g,30.0
Sliced beef, 30 g,0.0
Puff pastry, 150 g,50.0
Shepherd's purse and pork stuffed wonton, 150 g,30.0
Puff pastry," 50 g
",50.0
Braised pork in brown sauce, 30 g,25.0
Shepherd's purse and pork stuffed wonton, 60 g,30.0
Coarse grain," 125 g
",50.0
Yam corn and minced pork," 106 g
",0.0
Pork omelette, 155 g,0.0
Fried sliced pork with celery and ginkgo nut,"  134 g
",0.0
Fried sliced pork with lettuce and carrot,"  113 g
",17.5
Coarse grain steamed bread," 126 g
",62.5
Coarse grain," 142 g
",50.0
Mungbean sprout and green pepper," 110 g
",30.0
Braised shredded pork and cabbage," 113 g
",5.0
Fried slice pork with green pepper and mushroom,  117 g,7.5
Diced duck with lettuce and carrot," 121 g
",35.0
Fried sliced pork with green pepper and water bamboo,"  112 g
",0.0
Grilled pork chop with scallion," 108 g
",0.0
Chinese cabbage," 116 g
",10.0
Minced pork with wax gourd," 103 g
",0.0
Sliced pork and Zucchini," 139 g
",0.0
Shredded pork with cucumber and carrot," 109 g
",17.5
Radish," 113 g
",50.0
Coarse grain, 131 g,50.0
Boiled vegetable,	 135 g,20.0
Boiled shrimp," 96 g
",50.0
Shredded pork with bitter gourd and carrot," 108 g
",17.5
Lettuce," 112 g
",10.0
Coarse grain," 128 g
",50.0
Shredded pork with green pepper and beech mushroom,"  122 g
",7.5
Minced pork with celery and carrot," 111 g
",17.5
Chinese cabbage and carrot," 115 g
",22.5
Egg," 59 g
",0.0
Boiled vegetable," 105 g
",20.0
Pork stuffed green pepper," 108 g
",0.0
Minced pork with scallion oil and pumpkin,"  104 g
",0.0
Vegetable," 117 g
",20.0
Brasied pork with cauliflower,"  135 g
",7.5
Shredded pork and cucumber,"  107 g
",0.0
Braised radish," 107 g
",50.0
Egg," 68 g
",0.0
Boiled vegetable," 103 g
",20.0
Stewed pork rib with carrot,"  148 g
",17.5
Steamed minced pork  with eggplant," 105 g
",0.0
Spinach," 115 g
",50.0
Braised pork with cauliflower,"  136 g
",7.5
Shredded pork and cucumber,"  108 g
",0.0
Braised radish," 110 g
",50.0
Coarse grain, 139 g,50.0
Steame bream," 104 g
",50.0
Steamed minced pork with eggplant," 107 g
",0.0
Spinach," 110 g
",50.0
Onion and sliced duck," 133 g
",0.0
Braised shredded pork and cabbage," 138 g
",5.0
Bean sprout and green pepper," 119 g
",30.0
Shepherd's purse stuffed pork meatball," 117 g
",0.0
"Water bamboo, carrot and shredded pork"," 108 g
",17.5
Leaf lettuce," 105 g
",10.0
Coarse grain," 138 g
",50.0
 Shredded pork in Beijing sauce," 116 g
",25.0
Minced pork and Zucchini,"  111 g
",0.0
Scallion oil fried wax gourd," 120 g
",10.0
Boiled vegetable," 111 g
",20.0
Braised pork with radish,"  147 g
",0.0
"Green pepper, yam and shredded chicken"," 108 g
",7.5
Chinese cabbage," 110 g
",10.0
Sliced boiled duck," 107 g
",0.0
Shredded lettuce and shredded pork," 129 g
",0.0
Vegetable," 118 g
",20.0
Steamed corn stuffed pork meatball," 108 g
",0.0
"Cauliflower, carrot and minced pork"," 103 g
",16.67
Vegetable," 111 g
",20.0
Steamed pork rib with pumpkin,"  136 g
",0.0
Hangzhou cabbage and minced pork," 141 g
",5.0
Cabbage," 110 g
",10.0
Sliced pork with king oyster mushroom and fungus," 117 g
",7.5
Fried minced pork with tomato and cabbage,"  127 g
",5.0
Water spinach," 108 g
",50.0
Coarse grain," 132 g
",50.0
Steamed chicken nugget with mushroom,"  137 g
",15.0
Wax gourd， carrot and minced pork," 148 g
",17.5
Hangzhou cabbage," 130 g
",10.0
Shrimp and vegetable," 127 g
",20.0
Minced pork and eggplant," 131 g
",0.0
Steamed yam stuffed pork meatball," 78 g
",0.0
"Green pepper, carrot and shredded pork"," 115 g
",17.5
Hangzhou cabbage," 127 g
",10.0
Stuffed Bell Pepper with Meat," 	114 g
",15.0
Tomato Cabbage Pork Stir-Fry," 	119 g
",5.0
Lettuce," 119 g
",10.0
Coarse grain steamed bread," 111 g
",62.5
Boiled vegetable," 128 g
",20.0
"Green pepper, mushroom and sliced pork"," 158 g
",7.5
Green bean sprouts and green pepper," 100 g
",30.0
Braised shredded pork and cabbage," 101 g
",5.0
Coarse grain," 152 g


",50.0
Onion and shredded beef," 164 g
",0.0
"Green pepper, water bamboo and shredded pork"," 126 g
",0.0
Coarse grain," 130 g


",50.0
Egg," 57 g
",0.0
Coarse grain steamed bread," 127 g
",62.5
Boiled vegetable," 126 g

",20.0
Grilled pork chop with scallion," 94 g
",0.0
Sweet potato leaves," 107 g
",80.0
Wax gourd and minced pork," 127 g
",0.0
Boiled shrimp," 95 g
",50.0
Radish," 119 g
",50.0
"Cucumber, carrot and shredded pork"," 121 g
",17.5
Coarse grain," 137 g


",50.0
Coarse grain steamed bread," 116 g
",62.5
Boiled vegetable," 123 g

",20.0
Braised duck with tofu skin knot,"  169 g
",15.0
"Potato, bottle gourd, and shredded pork"," 132 g
",40.0
Boiled chicken leg," 93 g
",0.0
Chinese cabbage and carrot," 112 g
",22.5
Towel gourd and shredded pork," 106 g
",0.0
Coarse grain," 137 g

",50.0
Bread, 25 g,75.0
Boiled vegetable," 108 g
",20.0
Boiled shrimp," 118 g
",50.0
Vegetable," 105 g
",20.0
"Cabbage, carrot and shredded pork"," 110 g
",15.0
Coarse grain," 123 g
",50.0
Shepherd's purse meatball," 107 g
",50.0
"Green pepper, yam and shredded chicken"," 117 g
",7.5
Leaf lettuce," 116 g
",10.0
Biscuit, 40 g,50.0
Shredded pork in Beijing sauce," 154 g
",25.0
Zucchini and shredded pork," 125 g
",0.0
Scallion oil fried wax goud," 141 g
",10.0
Coarse grain," 118 g
",50.0
Boiled vegetable, 119 g,20.0
"Sweet broad bean, carrot and sliced pork"," 154 g
",21.67
"Cauliflower, carrot and shredded pork"," 125 g
",16.67
Bean sprout and green pepper," 113 g
",30.0
Boiled vegetable, 128 g,20.0
Steamed corn stuffed pork meatball," 128 g
",0.0
"Cauliflower, fungus and shredded pork"," 131 g
",7.5
Vegetable," 136 g
",20.0
Coarse grain, 141 g,50.0
Green pepper and shredded beef," 149 g
",7.5
Shredded lettuce and shredded pork," 118 g
",0.0
Boiled vegetable, 108 g,20.0
Steamed mushroom and chicken nugget," 122 g
",15.0
"Cabbage, tomato and shredded pork"," 114 g
",5.0
Diced lotus root and pork meatball," 107 g
",0.0
"Wax gourd, carrot and shredded pork"," 113 g
",17.5
Egg," 55 g
",0.0
Boiled vegetable, 114 g,20.0
Minced pork and eggplant," 151 g
",0.0
Steamed yam and pork meatball," 100 g
",0.0
Stir-fired Bottle gourd and shredded pork," 128 g
",0.0
Hangzhou cabbage," 113 g
",10.0
Coarse grain, 146 g,50.0
Boiled vegetable, 110 g,20.0
"
Steamed pomfret"," 111 g
",0.0
"Tomato, cabbage and shredded pork"," 144 g
",5.0
Lettuce," 107 g
",10.0
Braised pork meatball," 125 g
",0.0
"Cauliflower, carrot and shredded pork"," 102 g
",16.67
Coarse grain," 122 g
",50.0
Boiled vegetable, 115 g,20.0
Braised pork and tofu skin knot," 159 g
",7.5
"Towel gourd, carrot and shredded pork"," 103 g
",17.5
"
Braised pork rib"," 172 g
",0.0
Zucchini and shredded pork," 146 g
",0.0
Cabbage," 113 g
",10.0
Coarse grain steamed bread," 129 g
",62.5
"Green pepper, mushroom and sliced pork"," 175 g
",7.5
Braised shredded pork and cabbage," 134 g
",5.0
Bean sprout and green pepper," 112 g
",30.0
Coarse grain, 288 g,50.0
Onion and shredded beef," 152 g
",0.0
"Green pepper, water bamboo and shredded pork"," 105 g
",0.0
Coarse grain, 283 g,50.0
Coarse grain steamed bread," 193 g
",62.5
Boiled vegetable, 125 g,20.0
Roast pork rib with scallion," 94 g
",0.0
Shredded pork and wax gourd," 139 g
",0.0
Fried pig liver with green pepper,"  139 g
",15.0
"Cucumber, carrot and shredded pork"," 119 g
",17.5
Radish," 112 g
",50.0
Coarse grain, 223 g,50.0
Boiled vegetable," 116 g
",20.0
Braised pork rib," 102 g
",0.0
Celery and shredded pork, 107 g,0.0
"
Lettuce", 118 g,10.0
"
Coarse grain", 289 g,50.0
Boiled chicken leg," 89 g
",0.0
"Stir-fired yam, fungus and shredded pork"," 119 g
",0.0
Pork stuffed green pepper," 133 g
",0.0
"Cabbage, carrot and shredded pork"," 119 g
",15.0
Braised pork with califlower,"  137 g
",0.0
Cucumber and shredded pork," 108 g
",0.0
Braised radish," 120 g
",50.0
Coarse grain, 281 g,50.0
Egg," 72 g
",0.0
Boiled vegetable, 153 g,20.0
Boiled vegetable," 104 g
",20.0
Coarse grain steamed bread, 160 g,62.5
Green pepper and chicken nugget," 143 g
",7.5
"Cauliflower, fungus and shredded pork"," 137 g
",7.5
Coarse grain," 130 g
",50.0
Green pepper and shredded pork," 143 g
",0.0
Lettuce and shredded pork, 118 g,0.0
Coarse grain steamed bread, 150 g,62.5
Chicken nugget," 115 g
",0.0
Vegetable," 126 g
",20.0
Cabbage and shredded pork," 137 g
",5.0
Pork meatball," 102 g
",0.0
Wax goud and shredded pork," 121 g
",0.0
Hangzhou cabbage," 144 g
",10.0
Coarse grain steamed bread," 131 g
",62.5
Boiled vegetable, 104 g,20.0
Braised pork with tofu skin knot," 133 g
",7.5
Celery and smoke bean curd," 122 g
",30.0
Vegetable, 126 g,20.0
"Yam, sweet broad bean and sliced pork"," 154 g
",15.0
Cauliflower and shredded pork," 129 g
",7.5
Fried cabbage," 115 g
",10.0
Coarse grain, 225 g,50.0
Coarse grain steamed bread, 130 g,62.5
Fried crown daisy," 105 g
",50.0
"Yam, corn and diced pork"," 130 g
",0.0
"Fungus, cucumber, egg and sliced pork"," 150 g
",0.0
Boiled vegetable, 147 g,20.0
Sliced lotus root and chicken nugget," 158 g
",0.0
Boiled vegetable," 120 g
",20.0
"Green pepper, shredded carrot and bean sprout"," 105 g
",32.5
Green pepper and shredded pork," 129 g
",0.0
Mushroom and sliced pork," 108 g
",7.5
Coarse grain steamed bread," 139 g
",62.5
Boiled vegetable, 139 g,20.0
Braised pork rib," 107 g
",0.0
Wax gourd and shredded pork," 139 g
",0.0
Coarse grain steamed bread," 179 g
",62.5
Boiled vegetable, 109 g,20.0
Shepherd's purse meatball," 106 g
",50.0
"Green pepper, yam and shredded chicken"," 112 g
",7.5
Shredded pork in Beijing sauce," 194 g
",25.0
Wax gourd with scallion oil,"  130 g
",10.0
Zucchini and shredded pork," 137 g
",0.0
Boiled vegetable, 	111 g,20.0
Fried pork with Radish,"  	137 g
",0.0
Chinese cabbage," 119 g
",10.0
"Water bamboo, carrot and shredded pork"," 119 g
",17.5
Coarse grain, 233 g,50.0
Boiled sliced duck," 124 g
",0.0
Bean sprout and green pepper," 111 g
",30.0
Sweet potato leaves and shredded pork," 118 g
",40.0
Steamed corn meatball," 109 g
",50.0
"Cauliflower, fungus and shredded pork"," 121 g
",7.5
Green pepper and shredded beef," 156 g
",7.5
Shredded lettuce and shredded pork," 115 g
",0.0
Coarse grain, 227 g,50.0
Steamed chicken nugget with mushroom," 146 g
",15.0
Sweet potato leaves," 105 g
",80.0
"Tomato, cabbage and shredded pork"," 131 g
",5.0
Meatball with lotus root,"  103 g
",50.0
"Wax gourd, carrot and shredded pork"," 110 g
",17.5
Hangzhou cabbage," 116 g
",10.0
